column number,name,alias,definition,source
42,S_20,Senior low-income rate_2017,Senior low-income rate in 2017,DataHaven
43,L_2010,Life expectancy_2010-2015,Life expectancy in 2010-2015,DataHaven
44,Hb_201,High blood pressure_2015,High blood pressure in 2015 - (data came from DataHaven and just kept these columns in the table https://www.ctdatahaven.org/data-resources/connecticut-city-neighborhood-profiles),DataHaven
45,Ch_201,Coronary heart disease_2016,Coronary heart disease in 2016,DataHaven
46,Ca_2016,Current asthma_2016,Current asthma in 2016,DataHaven
47,Db_2016,Diabetes_2016,Diabetes in 2016,DataHaven
48,A_201,Annual checkup_2016,Annual checkup in 2016,DataHaven
49,Dv_2016,Dental visit_2016,Dental visit in 2016,DataHaven
50,H_2016,Health insurance_2016,Health insurance in 2016,DataHaven
51,Cs_2016,Current smoking_2016,Current smoking in 2016,DataHaven
52,S_7_2,Sleep <7 hours_2016,Sleep <7 hours in 2016,DataHaven
53,g_cnt,gi_counts,Green Infrastructure Counts,Original
54,a_tre,a_tree,area of tree (area came from pixels in square feet),Derived from high-resolution land cover from South Central Regional Council of Governments (SCRCOG) and the University of Vermont (UVM) the Spatial Analysis Lab (The SAL)
55,a_grs,a_grass,area of grass/shrub (area came from pixels in square feet),Derived from high-resolution land cover from South Central Regional Council of Governments (SCRCOG) and the University of Vermont (UVM) the Spatial Analysis Lab (The SAL)
56,a_sol,a_soil,area of soil (area came from pixels in square feet),Derived from high-resolution land cover from South Central Regional Council of Governments (SCRCOG) and the University of Vermont (UVM) the Spatial Analysis Lab (The SAL)
57,a_wtr,a_water,area of water (area came from pixels in square feet),Derived from high-resolution land cover from South Central Regional Council of Governments (SCRCOG) and the University of Vermont (UVM) the Spatial Analysis Lab (The SAL)
58,a_bld,a_building,area of building (area came from pixels in square feet),Derived from high-resolution land cover from South Central Regional Council of Governments (SCRCOG) and the University of Vermont (UVM) the Spatial Analysis Lab (The SAL)
59,a_rod,a_road,area of road (area came from pixels in square feet),Derived from high-resolution land cover from South Central Regional Council of Governments (SCRCOG) and the University of Vermont (UVM) the Spatial Analysis Lab (The SAL)
60,a_th_,a_other_paved,area of other paved (area came from pixels in square feet),Derived from high-resolution land cover from South Central Regional Council of Governments (SCRCOG) and the University of Vermont (UVM) the Spatial Analysis Lab (The SAL)
61,a_ttl,a_total,total area,Derived from high-resolution land cover from South Central Regional Council of Governments (SCRCOG) and the University of Vermont (UVM) the Spatial Analysis Lab (The SAL)
62,p_tre,p_tree,percent tree canopy cover,Derived from high-resolution land cover from South Central Regional Council of Governments (SCRCOG) and the University of Vermont (UVM) the Spatial Analysis Lab (The SAL)
63,p_grs,p_grass,percent grass/shrub cover,Derived from high-resolution land cover from South Central Regional Council of Governments (SCRCOG) and the University of Vermont (UVM) the Spatial Analysis Lab (The SAL)
64,p_sol,p_soil,percent soil cover,Derived from high-resolution land cover from South Central Regional Council of Governments (SCRCOG) and the University of Vermont (UVM) the Spatial Analysis Lab (The SAL)
65,p_wtr,p_water,percent water cover,Derived from high-resolution land cover from South Central Regional Council of Governments (SCRCOG) and the University of Vermont (UVM) the Spatial Analysis Lab (The SAL)
66,p_bld,p_building,percent building cover,Derived from high-resolution land cover from South Central Regional Council of Governments (SCRCOG) and the University of Vermont (UVM) the Spatial Analysis Lab (The SAL)
67,p_rod,p_road,percent road cover,Derived from high-resolution land cover from South Central Regional Council of Governments (SCRCOG) and the University of Vermont (UVM) the Spatial Analysis Lab (The SAL)
68,p_th,p_other_paved,percent other paved cover,Derived from high-resolution land cover from South Central Regional Council of Governments (SCRCOG) and the University of Vermont (UVM) the Spatial Analysis Lab (The SAL)
69,is,Impervious Surface (%),percent impervious surface cover,Derived from high-resolution land cover from South Central Regional Council of Governments (SCRCOG) and the University of Vermont (UVM) the Spatial Analysis Lab (The SAL)
70,regionid_y,REGIONID.y,same as REGIONID.x,
71,g_pr,gi_per_cap,Green Infrastructure Per Capita,Original / Derived
72,g_10,gi_per_1000,Green Infrastructure Per 1000 persons,Original / Derived
73,expct,expected,expected GI counts under the scenario that installations are proportional to population (eg Odds Ratio = 1),Original / Derived
74,std_r,std_rate,"standardized rate - overall GSI uptake rate (so GSI divided by population = r), then the standardized rate is population of each polygon (block group or neighborhood) times r. Population * r = standardized rate",Original / Derived
75,rwnm_y,rowname.y,same as rowname.x,
76,x,x,counts of GI,
77,pt,pt,point estimate,
78,rate,rate,rate,
79,lower,lower,confidence interval lower limit,
80,upper,upper,confidence interval upper limit,
81,cnf_l,conf.level,the confidence interval level,
82,geometry,geometry,spatial data,
